NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
     Out of pocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Health Insurance, 12 , 12 , 13 , 13 , 13 , 13 , 159 , 272 , 387 , 436 , 559 , 606 , 699 , 829 ," 1,014 "," 1,140 "," 1,432 "," 1,393 "," 1,768 "," 1,892 "," 2,035 "," 2,363 "," 2,407 "," 2,585 "," 2,850 "," 3,323 "," 3,375 "," 3,461 "," 3,995 "," 4,473 "," 4,797 "," 5,249 "," 5,546 "," 5,930 "," 6,533 "," 6,852 "," 7,014 "," 7,868 "," 8,561 "," 9,570 "," 11,185 "," 11,899 "," 13,513 "," 14,678 "," 16,202 "," 17,316 "," 17,796 "," 18,952 "," 19,522 "," 20,227 "," 21,024 "," 22,621 "," 23,168 "," 23,915 "," 27,420 "," 28,924 "," 30,824 "," 31,124 "," 33,645 "
          Private Health Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Medicare, -   , -   , -   , -   , -   , -   , 120 , 193 , 287 , 310 , 397 , 407 , 474 , 548 , 680 , 726 , 879 , 754 ," 1,002 "," 1,022 "," 1,127 "," 1,308 "," 1,279 "," 1,416 "," 1,549 "," 1,912 "," 1,867 "," 1,858 "," 2,238 "," 2,474 "," 2,455 "," 2,812 "," 3,002 "," 2,801 "," 3,057 "," 3,023 "," 3,279 "," 3,228 "," 3,431 "," 3,671 "," 4,676 "," 4,522 "," 5,099 "," 5,182 "," 6,288 "," 6,494 "," 6,673 "," 6,680 "," 6,873 "," 6,974 "," 7,310 "," 8,229 "," 8,856 "," 8,577 "," 9,671 "," 9,847 "," 10,305 "," 9,696 "," 11,973 "
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   , 26 , 62 , 79 , 99 , 130 , 161 , 181 , 230 , 276 , 351 , 482 , 568 , 688 , 788 , 821 , 962 ," 1,019 "," 1,036 "," 1,168 "," 1,281 "," 1,372 "," 1,457 "," 1,601 "," 1,824 "," 2,145 "," 2,253 "," 2,317 "," 2,881 "," 3,202 "," 3,552 "," 3,456 "," 4,337 "," 4,762 "," 5,399 "," 5,829 "," 6,480 "," 7,099 "," 7,775 "," 7,743 "," 8,183 "," 8,161 "," 9,076 "," 9,437 "," 9,747 "," 9,679 "," 10,206 "," 10,453 "," 11,601 "," 13,755 "," 14,818 "," 15,650 "," 16,340 "," 16,708 "
                          Federal  , -   , -   , -   , -   , -   , -   , 26 , 62 , 79 , 99 , 130 , 161 , 181 , 230 , 276 , 351 , 482 , 568 , 688 , 788 , 821 , 962 ," 1,019 "," 1,036 "," 1,168 "," 1,281 "," 1,372 "," 1,457 "," 1,601 "," 1,824 "," 2,145 "," 2,253 "," 2,317 "," 2,881 "," 3,202 "," 3,552 "," 3,456 "," 4,337 "," 4,762 "," 5,399 "," 5,829 "," 6,480 "," 7,099 "," 7,775 "," 7,743 "," 8,183 "," 8,161 "," 9,076 "," 9,437 "," 9,747 "," 9,679 "," 10,206 "," 10,453 "," 11,601 "," 13,755 "," 14,818 "," 15,650 "," 16,340 "," 16,708 "
                          State and Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 22 , 101 , 214 , 269 , 331 , 360 , 360 , 407 , 396 , 473 , 523 , 534 , 570 , 633 , 676 , 758 , 850 , 990 ," 1,371 "," 1,496 "," 1,559 "
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 22 , 101 , 214 , 269 , 331 , 360 , 360 , 407 , 396 , 473 , 523 , 534 , 570 , 633 , 676 , 758 , 850 , 990 ," 1,371 "," 1,496 "," 1,559 "
                          State and Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Department of Defense, 2 , 2 , 2 , 2 , 2 , 2 , 2 , 5 , 9 , 11 , 13 , 17 , 21 , 25 , 26 , 26 , 29 , 32 , 32 , 35 , 37 , 42 , 53 , 73 , 68 , 68 , 82 , 99 , 111 , 129 , 152 , 131 , 168 , 172 , 194 , 203 , 206 , 234 , 277 , 325 , 385 , 539 , 869 ," 1,203 "," 1,609 "," 2,017 "," 2,381 "," 2,595 "," 2,624 "," 2,890 "," 3,429 "," 3,521 "," 3,152 "," 2,926 "," 3,108 "," 3,033 "," 3,097 "," 2,976 "," 2,598 "
         Department of Veterans Affairs, 10 , 10 , 11 , 11 , 12 , 12 , 12 , 12 , 12 , 16 , 19 , 21 , 23 , 26 , 32 , 37 , 41 , 38 , 46 , 47 , 50 , 52 , 55 , 60 , 64 , 61 , 53 , 47 , 45 , 46 , 44 , 53 , 60 , 76 , 80 , 75 , 72 , 68 , 69 , 73 , 80 , 89 , 114 , 158 , 203 , 215 , 184 , 128 , 66 , 82 , 36 , 32 , 31 , 53 , 36 , 235 , 402 , 615 , 807 
     Other Third Party Payers and Programs, 12 , 17 , 23 , 25 , 43 , 74 , 52 , 31 , 34 , 34 , 15 , 19 , 20 , 20 , 21 , 32 , 67 , 68 , 79 , 83 , 84 , 95 , 111 , 101 , 105 , 108 , 105 , 104 , 116 , 120 , 143 , 153 , 168 , 199 , 217 , 221 , 226 , 214 , 227 , 249 , 273 , 310 , 323 , 334 , 344 , 343 , 360 , 371 , 354 , 408 , 704 ," 1,070 "," 1,699 "," 2,973 "," 2,823 "," 2,273 "," 1,661 ", 952 ," 1,000 "
         Worksite Health Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Other Private Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 6 , 8 , 9 , 11 , 12 , 13 , 15 , 15 , 17 , 20 , 22 , 21 , 21 , 24 , 28 , 34 , 40 , 45 , 48 , 54 , 59 , 59 , 62 , 67 , 74 , 84 , 91 , 92 , 97 , 98 , 98 , 101 , 101 , 100 , 114 , 139 , 143 , 155 , 156 , 186 , 196 , 205 , 206 , 212 
         Workers' Compensation, -   , -   , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 2 , 4 , 4 , 4 , 4 , 4 , 5 , 8 , 10 , 9 , 7 , 9 , 11 , 12 , 13 , 14 , 15 , 17 , 17 , 17 , 17 , 18 , 18 , 18 , 22 , 25 , 26 , 30 , 36 , 38 , 41 , 49 , 51 , 59 , 80 , 91 , 100 , 102 , 103 , 112 , 122 , 127 , 130 
         General Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Maternal/Child Health, 1 , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 2 , 3 , 3 , 4 , 5 , 5 , 4 , 4 , 5 , 5 , 6 , 6 , 6 , 6 , 5 , 4 , 2 , 3 , 2 , 3 , 3 , 3 , 3 , 3 , 3 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 
                          Federal  , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 2 , 3 , 3 , 4 , 5 , 5 , 4 , 4 , 5 , 5 , 6 , 6 , 6 , 6 , 5 , 4 , 2 , 3 , 2 , 3 , 3 , 3 , 3 , 3 , 3 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 
                          State and Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Vocational Rehabilitation, 1 , 1 , 1 , 1 , 1 , 1 , 2 , 3 , 5 , 6 , 7 , 8 , 8 , 10 , 12 , 14 , 14 , 14 , 14 , 15 , 17 , 18 , 18 , 18 , 19 , 20 , 21 , 23 , 24 , 24 , 26 , 27 , 28 , 29 , 27 , 26 , 27 , 31 , 32 , 33 , 36 , 37 , 39 , 39 , 40 , 38 , 40 , 41 , 40 , 44 , 48 , 48 , 46 , 46 , 46 , 46 , 47 , 47 , 48 
                          Federal  , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 3 , 5 , 6 , 7 , 8 , 8 , 10 , 12 , 14 , 14 , 14 , 14 , 15 , 17 , 18 , 18 , 18 , 19 , 20 , 21 , 23 , 24 , 24 , 26 , 27 , 28 , 29 , 27 , 26 , 27 , 31 , 32 , 33 , 36 , 37 , 39 , 39 , 40 , 38 , 40 , 41 , 40 , 44 , 48 , 48 , 46 , 46 , 46 , 46 , 47 , 47 , 48 
                          State and Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Other Federal Programs*, 10 , 14 , 20 , 22 , 40 , 70 , 47 , 25 , 26 , 24 , 4 , 6 , 6 , 4 , 3 , -   , 30 , 30 , 35 , 37 , 34 , 43 , 60 , 48 , 49 , 50 , 49 , 43 , 39 , 40 , 45 , 43 , 49 , 59 , 59 , 65 , 84 , 69 , 67 , 73 , 79 , 86 , 97 , 107 , 106 , 107 , 115 , 114 , 98 , 122 , 369 , 714 ," 1,310 "," 2,581 "," 2,404 "," 1,834 "," 1,200 ", 484 , 521 
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 8 , 7 , 9 , 8 , 10 , 9 , 8 , 7 , 4 , 4 , 4 , 5 , 15 , 12 , 22 , 25 , 27 , 43 , 56 , 51 , 35 , 31 , 39 , 46 , 50 , 68 , 65 , 57 , 60 , 58 , 59 , 62 , 62 , 65 , 64 , 70 , 85 , 85 , 80 , 82 , 83 , 85 , 85 
         Other State and Local Programs**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         School Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   , 146 , 255 , 366 , 409 , 527 , 568 , 655 , 778 , 956 ," 1,077 "," 1,362 "," 1,323 "," 1,690 "," 1,810 "," 1,948 "," 2,270 "," 2,298 "," 2,452 "," 2,717 "," 3,194 "," 3,239 "," 3,315 "," 3,839 "," 4,298 "," 4,600 "," 5,065 "," 5,318 "," 5,682 "," 6,259 "," 6,575 "," 6,735 "," 7,565 "," 8,215 "," 9,172 "," 10,719 "," 11,270 "," 12,530 "," 13,317 "," 14,390 "," 15,083 "," 15,231 "," 16,229 "," 16,832 "," 17,255 "," 17,559 "," 19,068 "," 19,985 "," 20,936 "," 24,276 "," 25,656 "," 27,326 "," 27,532 "," 30,240 "
Net Cost of Health Insurance Expenditures," 1,018 "," 1,101 "," 1,214 "," 1,251 "," 1,376 "," 1,608 "," 1,734 "," 1,720 "," 2,033 "," 1,786 "," 1,892 "," 2,432 "," 3,403 "," 3,730 "," 3,208 "," 3,428 "," 4,906 "," 7,515 "," 8,896 "," 9,558 "," 9,282 "," 10,944 "," 13,106 "," 14,934 "," 19,615 "," 20,713 "," 17,717 "," 15,908 "," 20,900 "," 27,534 "," 31,558 "," 31,690 "," 34,261 "," 43,001 "," 44,929 "," 45,882 "," 48,805 "," 48,455 "," 49,934 "," 55,974 "," 64,187 "," 71,028 "," 90,015 "," 107,343 "," 114,923 "," 122,880 "," 137,097 "," 143,241 "," 139,389 "," 137,637 "," 153,227 "," 158,825 "," 165,216 "," 173,255 "," 195,275 "," 206,667 "," 218,811 "," 228,310 "," 258,506 "
     Out of pocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Health Insurance, 852 , 931 ," 1,020 "," 1,051 "," 1,152 "," 1,355 "," 1,443 "," 1,391 "," 1,641 "," 1,361 "," 1,442 "," 2,021 "," 2,973 "," 3,200 "," 2,638 "," 2,852 "," 4,321 "," 6,775 "," 7,936 "," 8,219 "," 7,703 "," 9,266 "," 11,321 "," 13,363 "," 18,460 "," 19,419 "," 16,456 "," 14,131 "," 18,961 "," 26,004 "," 29,830 "," 30,323 "," 32,256 "," 39,566 "," 40,545 "," 41,277 "," 44,118 "," 44,201 "," 45,792 "," 51,983 "," 59,315 "," 65,370 "," 82,686 "," 97,981 "," 104,821 "," 111,116 "," 124,058 "," 130,711 "," 129,639 "," 130,447 "," 146,021 "," 150,426 "," 154,790 "," 161,639 "," 182,248 "," 192,394 "," 203,988 "," 213,392 "," 243,765 "
          Private Health Insurance, 852 , 931 ," 1,020 "," 1,051 "," 1,152 "," 1,355 "," 1,442 "," 1,389 "," 1,637 "," 1,355 "," 1,434 "," 2,012 "," 2,964 "," 3,189 "," 2,625 "," 2,837 "," 4,304 "," 6,757 "," 7,917 "," 8,199 "," 7,684 "," 9,240 "," 11,283 "," 13,287 "," 18,326 "," 19,209 "," 16,182 "," 13,779 "," 18,515 "," 25,431 "," 29,097 "," 29,463 "," 31,162 "," 37,934 "," 38,474 "," 38,615 "," 40,844 "," 39,542 "," 40,315 "," 45,879 "," 52,349 "," 57,115 "," 73,283 "," 88,474 "," 93,676 "," 96,768 "," 101,208 "," 104,577 "," 101,673 "," 97,649 "," 107,720 "," 110,432 "," 112,268 "," 114,901 "," 124,631 "," 124,465 "," 130,232 "," 142,571 "," 164,320 "
          Medicare, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , 11 , 26 , 59 , 122 , 194 , 271 , 323 , 386 , 460 , 531 , 627 , 929 ," 1,182 "," 1,512 "," 1,898 "," 2,943 "," 3,430 "," 3,467 "," 3,820 "," 4,053 "," 3,731 "," 3,485 "," 4,738 "," 6,990 "," 14,720 "," 17,361 "," 18,084 "," 21,567 "," 23,405 "," 24,518 "," 25,833 "," 26,716 "," 28,379 "," 31,786 "," 36,549 "," 36,036 "," 41,059 "
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   , 1 , 3 , 4 , 6 , 8 , 9 , 9 , 10 , 13 , 15 , 17 , 18 , 19 , 20 , 19 , 22 , 28 , 49 , 75 , 88 , 81 , 81 , 122 , 187 , 273 , 329 , 467 , 703 , 889 ," 1,149 "," 1,376 "," 1,715 "," 2,026 "," 2,547 "," 2,968 "," 3,905 "," 5,222 "," 5,546 "," 5,908 "," 6,825 "," 7,525 "," 8,103 "," 9,114 "," 10,416 "," 13,873 "," 14,431 "," 15,732 "," 18,987 "," 28,111 "," 34,877 "," 35,815 "," 33,468 "," 37,036 "
                          Federal  , -   , -   , -   , -   , -   , -   , 1 , 2 , 2 , 3 , 4 , 5 , 5 , 6 , 7 , 9 , 10 , 10 , 11 , 11 , 9 , 10 , 13 , 24 , 37 , 42 , 38 , 36 , 55 , 85 , 132 , 185 , 264 , 400 , 508 , 652 , 767 , 966 ," 1,165 "," 1,460 "," 1,697 "," 2,245 "," 2,979 "," 3,290 "," 3,435 "," 3,877 "," 4,273 "," 4,629 "," 5,444 "," 7,071 "," 9,547 "," 8,877 "," 9,079 "," 10,887 "," 17,867 "," 23,292 "," 24,198 "," 20,080 "," 23,395 "
                          State and Local, -   , -   , -   , -   , -   , -   , -   , 1 , 2 , 2 , 3 , 4 , 4 , 4 , 5 , 6 , 7 , 8 , 8 , 9 , 11 , 12 , 15 , 25 , 38 , 46 , 43 , 45 , 68 , 102 , 140 , 144 , 204 , 303 , 380 , 498 , 609 , 749 , 861 ," 1,087 "," 1,271 "," 1,660 "," 2,243 "," 2,256 "," 2,473 "," 2,948 "," 3,252 "," 3,474 "," 3,670 "," 3,346 "," 4,326 "," 5,555 "," 6,652 "," 8,101 "," 10,245 "," 11,584 "," 11,617 "," 13,388 "," 13,641 "
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 20 , 91 , 178 , 296 , 450 , 476 , 499 , 533 , 605 , 670 , 768 , 814 ," 1,023 "," 1,045 ", 958 ," 1,034 "," 1,126 "," 1,266 "," 1,392 "," 1,317 "," 1,350 "
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 13 , 62 , 121 , 203 , 310 , 329 , 347 , 369 , 416 , 463 , 533 , 566 , 705 , 722 , 660 , 712 , 783 , 949 ," 1,261 "," 1,205 "," 1,245 "
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 7 , 30 , 57 , 92 , 140 , 146 , 152 , 164 , 190 , 207 , 235 , 249 , 318 , 322 , 298 , 322 , 343 , 317 , 131 , 112 , 105 
         Department of Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Department of Veterans Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Other Third Party Payers and Programs, 167 , 170 , 194 , 200 , 225 , 253 , 291 , 329 , 392 , 426 , 450 , 411 , 430 , 530 , 570 , 576 , 585 , 741 , 960 ," 1,338 "," 1,579 "," 1,678 "," 1,785 "," 1,571 "," 1,156 "," 1,294 "," 1,261 "," 1,777 "," 1,939 "," 1,529 "," 1,727 "," 1,367 "," 2,005 "," 3,435 "," 4,384 "," 4,605 "," 4,687 "," 4,254 "," 4,142 "," 3,990 "," 4,872 "," 5,658 "," 7,329 "," 9,362 "," 10,102 "," 11,764 "," 13,039 "," 12,530 "," 9,751 "," 7,190 "," 7,207 "," 8,399 "," 10,426 "," 11,616 "," 13,027 "," 14,273 "," 14,823 "," 14,918 "," 14,741 "
         Worksite Health Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Other Private Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Indian Health Services ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Workers' Compensation, 167 , 170 , 194 , 200 , 225 , 253 , 291 , 329 , 392 , 426 , 450 , 411 , 430 , 530 , 570 , 576 , 585 , 741 , 960 ," 1,338 "," 1,579 "," 1,678 "," 1,785 "," 1,571 "," 1,156 "," 1,294 "," 1,261 "," 1,777 "," 1,939 "," 1,529 "," 1,727 "," 1,367 "," 2,005 "," 3,435 "," 4,384 "," 4,605 "," 4,687 "," 4,254 "," 4,142 "," 3,990 "," 4,872 "," 5,658 "," 7,329 "," 9,362 "," 10,102 "," 11,764 "," 13,039 "," 12,530 "," 9,751 "," 7,190 "," 7,205 "," 8,390 "," 10,386 "," 11,545 "," 13,013 "," 14,273 "," 14,823 "," 14,918 "," 14,741 "
         General Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Maternal/Child Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          Federal  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          State and Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Vocational Rehabilitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          Federal  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          State and Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Other Federal Programs*, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 9 , 40 , 70 , 15 , -   , -   , -   , -   
         SAMHSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Other State and Local Programs**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         School Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   , 1 , 3 , 4 , 6 , 8 , 9 , 9 , 10 , 13 , 15 , 17 , 18 , 19 , 20 , 19 , 26 , 39 , 76 , 133 , 210 , 274 , 352 , 446 , 573 , 733 , 860 ," 1,094 "," 1,632 "," 2,071 "," 2,661 "," 3,274 "," 4,659 "," 5,476 "," 6,105 "," 6,966 "," 8,254 "," 9,403 "," 9,507 "," 11,145 "," 14,348 "," 22,850 "," 26,134 "," 27,966 "," 32,798 "," 38,301 "," 39,995 "," 42,522 "," 46,738 "," 57,617 "," 67,928 "," 73,756 "," 70,820 "," 79,445 "
Public Health Activity, 371 , 409 , 456 , 509 , 572 , 621 , 733 , 861 , 969 ," 1,174 "," 1,356 "," 1,676 "," 1,855 "," 2,123 "," 2,584 "," 2,967 "," 3,213 "," 3,815 "," 4,588 "," 5,375 "," 6,445 "," 7,531 "," 8,621 "," 9,251 "," 9,842 "," 11,212 "," 12,387 "," 13,572 "," 15,267 "," 17,773 "," 19,997 "," 22,129 "," 24,374 "," 26,779 "," 29,594 "," 31,003 "," 32,377 "," 34,832 "," 37,457 "," 40,731 "," 43,050 "," 46,792 "," 52,201 "," 54,228 "," 54,934 "," 57,252 "," 60,892 "," 65,969 "," 71,559 "," 74,191 "," 75,696 "," 74,425 "," 77,188 "," 78,973 "," 81,997 "," 85,787 "," 88,671 "," 91,364 "," 93,522 "
  Federal Funds, 102 , 108 , 140 , 208 , 226 , 214 , 294 , 401 , 470 , 564 , 594 , 791 , 893 , 854 , 969 ," 1,043 "," 1,110 "," 1,152 "," 1,154 "," 1,108 "," 1,235 "," 1,216 "," 1,141 "," 1,232 "," 1,298 "," 1,326 "," 1,340 "," 1,529 "," 1,795 "," 2,028 "," 2,263 "," 2,607 "," 2,915 "," 3,167 "," 3,630 "," 3,665 "," 3,759 "," 3,931 "," 4,065 "," 4,546 "," 4,879 "," 5,779 "," 8,018 "," 8,899 "," 8,958 "," 9,169 "," 9,513 "," 9,696 "," 9,880 "," 11,995 "," 14,185 "," 10,729 "," 10,846 "," 10,333 "," 10,833 "," 11,329 "," 11,781 "," 12,590 "," 12,008 "
  State/Local Funds, 269 , 302 , 316 , 301 , 347 , 407 , 439 , 460 , 499 , 610 , 762 , 885 , 962 ," 1,269 "," 1,615 "," 1,924 "," 2,104 "," 2,663 "," 3,434 "," 4,267 "," 5,210 "," 6,316 "," 7,480 "," 8,019 "," 8,544 "," 9,886 "," 11,047 "," 12,043 "," 13,472 "," 15,745 "," 17,734 "," 19,522 "," 21,459 "," 23,613 "," 25,964 "," 27,338 "," 28,618 "," 30,901 "," 33,392 "," 36,185 "," 38,170 "," 41,013 "," 44,184 "," 45,329 "," 45,977 "," 48,083 "," 51,378 "," 56,274 "," 61,680 "," 62,196 "," 61,511 "," 63,696 "," 66,342 "," 68,641 "," 71,164 "," 74,458 "," 76,891 "," 78,773 "," 81,515 "
Research, 694 , 886 ," 1,068 "," 1,219 "," 1,366 "," 1,521 "," 1,624 "," 1,775 "," 1,877 "," 1,924 "," 1,953 "," 2,109 "," 2,357 "," 2,502 "," 2,767 "," 3,372 "," 3,707 "," 3,864 "," 4,438 "," 4,805 "," 5,429 "," 5,705 "," 6,025 "," 6,543 "," 7,608 "," 8,320 "," 9,002 "," 10,025 "," 10,836 "," 11,738 "," 12,678 "," 13,819 "," 15,091 "," 16,472 "," 17,758 "," 18,670 "," 17,808 "," 19,640 "," 21,512 "," 23,365 "," 25,475 "," 28,504 "," 32,016 "," 34,844 "," 38,578 "," 40,319 "," 41,163 "," 42,576 "," 44,283 "," 45,348 "," 49,125 "," 49,575 "," 48,380 "," 46,689 "," 46,036 "," 46,391 "," 47,382 "," 50,068 "," 52,562 "
     Private , 139 , 147 , 153 , 162 , 170 , 176 , 186 , 198 , 208 , 213 , 215 , 233 , 227 , 232 , 252 , 264 , 267 , 220 , 236 , 254 , 292 , 312 , 390 , 456 , 507 , 539 , 782 , 800 , 839 , 882 , 961 ," 1,091 "," 1,208 "," 1,298 "," 1,432 "," 1,563 "," 1,676 "," 1,870 "," 2,040 "," 2,149 "," 2,420 "," 2,464 "," 2,550 "," 2,738 "," 2,991 "," 3,300 "," 3,588 "," 3,896 "," 4,198 "," 4,213 "," 4,463 "," 4,669 "," 4,795 "," 4,761 "," 5,041 "," 5,197 "," 5,382 "," 5,553 "," 5,716 "
     Federal Gov't, 504 , 680 , 849 , 983 ," 1,112 "," 1,251 "," 1,335 "," 1,466 "," 1,539 "," 1,555 "," 1,556 "," 1,662 "," 1,893 "," 2,022 "," 2,245 "," 2,809 "," 3,119 "," 3,267 "," 3,760 "," 4,082 "," 4,616 "," 4,790 "," 4,955 "," 5,331 "," 6,269 "," 6,830 "," 7,114 "," 7,989 "," 8,618 "," 9,314 "," 9,981 "," 10,854 "," 11,902 "," 13,125 "," 14,149 "," 14,733 "," 13,554 "," 15,037 "," 16,616 "," 18,124 "," 19,695 "," 22,437 "," 25,570 "," 27,891 "," 31,078 "," 32,425 "," 32,800 "," 33,407 "," 34,323 "," 35,233 "," 38,837 "," 39,023 "," 37,764 "," 35,860 "," 34,646 "," 34,754 "," 35,261 "," 37,481 "," 39,504 "
